project_title,project_url,university_name,supervisors_info,applications_info
PhD Research Project: Artificial intelligence in entrepreneurship at University of Bolton,/phds/project/artificial-intelligence-in-entrepreneurship/?p164799,University of Bolton,Supervisor: Dr I Mostafiz,Year round applications
PhD Research Project: NIHR Leeds BRC: Network meta-analysis methods for assessment of complex interventions in the early phase setting at University of Leeds,/phds/project/nihr-leeds-brc-network-meta-analysis-methods-for-assessment-of-complex-interventions-in-the-early-phase-setting/?p164798,University of Leeds,"Supervisors: Prof D Stocken, Mr N Corrigan, Dr R Walwyn",Open Day(s)
PhD Research Project: A novel approach to the circular production of sustainable powders for metal additive manufacturing at Cardiff University,/phds/project/a-novel-approach-to-the-circular-production-of-sustainable-powders-for-metal-additive-manufacturing/?p164797,Cardiff University,"Supervisors: Dr D Bhaduri, Dr MR Ryan, Dr FL Lacan",Year round applications
PhD Research Project: Characterising hydrocarbon degradation pathways for post oil spill monitoring using bacterial hydrocarbon biodegradation genes at University of Essex,/phds/project/characterising-hydrocarbon-degradation-pathways-for-post-oil-spill-monitoring-using-bacterial-hydrocarbon-biodegradation-genes/?p164796,University of Essex,"Supervisors: Dr B McKew, Dr D Lea-Smith, Prof T J McGenity",10 January 2024
PhD Research Project: Uncovering adaptation and mitigation strategies to reduce pollutant propagation in coastal areas: countering the effects of human activities. at Coventry University,/phds/project/uncovering-adaptation-and-mitigation-strategies-to-reduce-pollutant-propagation-in-coastal-areas-countering-the-effects-of-human-activities/?p155406,Coventry University,Supervisor: Dr MR Rubinato,15 January 2024
PhD Research Project: Hydro Nation Scholars Programme 2024 - Flow Physics Based Tracking of the Fate of Plastic Waste in Rivers and Coastal Waters at University of Dundee,/phds/project/hydro-nation-scholars-programme-2024-flow-physics-based-tracking-of-the-fate-of-plastic-waste-in-rivers-and-coastal-waters/?p164795,University of Dundee,"Supervisors: Dr A Guha, Dr A Cuthbertson",10 January 2024
PhD Research Project: NIHR Leeds BRC: Methods to improve research recruitment prediction in complex trials: improved learning from pilot or early phase work at University of Leeds,/phds/project/nihr-leeds-brc-methods-to-improve-research-recruitment-prediction-in-complex-trials-improved-learning-from-pilot-or-early-phase-work/?p164794,University of Leeds,"Supervisors: Prof D Stocken, Mr N Corrigan, Miss J Croft",Open Day(s)
PhD Research Project: Bridging the gap- dynamic managerial capabilities and organisational routines. at University of Bolton,/phds/project/bridging-the-gap-dynamic-managerial-capabilities-and-organisational-routines/?p164793,University of Bolton,Supervisor: Dr I Akhtar,Year round applications
PhD Research Project: Crisis Leadership: A Skill-based Perspective at University of Bolton,/phds/project/crisis-leadership-a-skill-based-perspective/?p164792,University of Bolton,Supervisor: Prof C Harrison,Year round applications
PhD Research Project: A target-recoil tracking device based on Monolithic Active Pixel sensor technology at University of York,/phds/project/a-target-recoil-tracking-device-based-on-monolithic-active-pixel-sensor-technology/?p164791,University of York,Supervisor: Dr S Paschalis,31 January 2024
PhD Research Project: Hydro Nation Scholars Programme 2024 - Modelling and mitigation of nitrous oxide (N2O) emissions from water treatment at University of Glasgow,/phds/project/hydro-nation-scholars-programme-2024-modelling-and-mitigation-of-nitrous-oxide-n2o-emissions-from-water-treatment/?p164790,University of Glasgow,"Supervisors: Dr C Domingo-Felez, Prof W Sloan, Dr G Melaugh",10 January 2024
PhD Research Project: NIHR Leeds BRC: Using data and computational methods to understand the effects of multi-morbidity and social factors on haematological cancer incidence and outcomes at University of Leeds,/phds/project/nihr-leeds-brc-using-data-and-computational-methods-to-understand-the-effects-of-multi-morbidity-and-social-factors-on-haematological-cancer-incidence-and-outcomes/?p164788,University of Leeds,"Supervisors: Prof E Roman, Prof D R Westhead",Open Day(s)
PhD Research Project: Bio-renewable Polymers as Sustainable Corrosion Inhibitors for Net-Zero Applications at University of Leeds,/phds/project/bio-renewable-polymers-as-sustainable-corrosion-inhibitors-for-net-zero-applications/?p164787,University of Leeds,"Supervisors: Dr P Thornton, Prof Richard Barker, Prof H Thompson",Open Day(s)
"PhD Research Project: High power laser plasma acceleration – making accelerators smaller, cheaper, better at University of Liverpool",/phds/project/high-power-laser-plasma-acceleration-making-accelerators-smaller-cheaper-better/?p164786,University of Liverpool,Supervisor: Dr L Corner,Year round applications
PhD Research Project: Authentic Leadership: A study of UK SMEs at University of Bolton,/phds/project/authentic-leadership-a-study-of-uk-smes/?p164785,University of Bolton,Supervisor: Prof C Harrison,Year round applications
PhD Research Project: Integrating Disaster Risk Reduction (DRR) and Climate Change Adaptation (CCA) for transformative change: Addressing multi-hazard vulnerability in the context of risk-informed development. at University of Edinburgh,/phds/project/integrating-disaster-risk-reduction-drr-and-climate-change-adaptation-cca-for-transformative-change-addressing-multi-hazard-vulnerability-in-the-context-of-risk-informed-development/?p164783,University of Edinburgh,Supervisor: Dr A Hejnowicz,4 January 2024
PhD Research Project: Structure of exotic nuclei using direct reactions at University of York,/phds/project/structure-of-exotic-nuclei-using-direct-reactions/?p164782,University of York,Supervisor: Prof M Petri,31 January 2024
PhD Research Project: Design and development of next generation textured cutting tools for improved tribological properties during machining at Cardiff University,/phds/project/design-and-development-of-next-generation-textured-cutting-tools-for-improved-tribological-properties-during-machining/?p164781,Cardiff University,"Supervisors: Dr D Bhaduri, Dr E Brousseau, Dr S Bigot",Year round applications
PhD Research Project: Hydro Nation Scholars Programme 2024 - Novel low-cost in-situ mitigation of chemicals of concern and AMR by graphitic carbon nitride (g-C₃N₄) photocatalysis at Robert Gordon University,/phds/project/hydro-nation-scholars-programme-2024-novel-low-cost-in-situ-mitigation-of-chemicals-of-concern-and-amr-by-graphitic-carbon-nitride-g-c-n-photocatalysis/?p164780,Robert Gordon University,"Supervisors: Dr C Pestana, Prof L Lawton",10 January 2024
PhD Research Project: Science for Disaster Risk Reduction: What’s not working? at University of Edinburgh,/phds/project/science-for-disaster-risk-reduction-what-s-not-working/?p164779,University of Edinburgh,Supervisor: Dr K Donovan,4 January 2024
PhD Research Project: NIHR Leeds BRC: Improving understanding of the use and interpretation of risk prediction tools at University of Leeds,/phds/project/nihr-leeds-brc-improving-understanding-of-the-use-and-interpretation-of-risk-prediction-tools/?p164778,University of Leeds,"Supervisors: Dr N Rousseau, Prof D Stocken, Prof DC Cairns",Open Day(s)
PhD Research Project: Hydro Nation Scholars Programme 2024 - MICROTRACE: developing novel tools for quantifying microplastic and contaminant sources from different land management systems to inform water quality improvements at Robert Gordon University,/phds/project/hydro-nation-scholars-programme-2024-microtrace-developing-novel-tools-for-quantifying-microplastic-and-contaminant-sources-from-different-land-management-systems-to-inform-water-quality-improvements/?p164777,Robert Gordon University,"Supervisors: Dr M Glendell, Dr S Devalla, Dr E Pagaling",10 January 2024
PhD Research Project: Hydro Nation Scholars Programme 2024 - NANO-REACT: In Situ mitigation of chemical pollutants using novel nanocellulose based composites in tandem photocatalytic-biotic reactors at Robert Gordon University,/phds/project/hydro-nation-scholars-programme-2024-nano-react-in-situ-mitigation-of-chemical-pollutants-using-novel-nanocellulose-based-composites-in-tandem-photocatalytic-biotic-reactors/?p164776,Robert Gordon University,"Supervisors: Dr S Devalla, Dr K Yates, Dr X Walter",10 January 2024
PhD Research Project: Dylunio ensymau-metel artiffisial i gatalyddu adweithyddion amrywiaethau cam hwyr at Cardiff University,/phds/project/dylunio-ensymau-metel-artiffisial-i-gatalyddu-adweithyddion-amrywiaethau-cam-hwyr/?p159565,Cardiff University,Supervisor: Dr G Rhys,12 January 2024
PhD Research Project: Hydro Nation Scholars Programme 2024 - New materials for the capture and photocatalytic destruction of “forever chemicals” at University of Strathclyde,/phds/project/hydro-nation-scholars-programme-2024-new-materials-for-the-capture-and-photocatalytic-destruction-of-forever-chemicals/?p164775,University of Strathclyde,"Supervisors: Prof P Cormack, Dr R Sprick, Dr F Vilela",10 January 2024
PhD Research Project: Superselective targeting of cancer and neuronal cells using multivalent lectin-glycan interactions at University of Leeds,/phds/project/superselective-targeting-of-cancer-and-neuronal-cells-using-multivalent-lectin-glycan-interactions/?p158202,University of Leeds,"Supervisors: Dr R Richter, Prof W B Turnbull",Open Day(s)
PhD Research Project: Global Atopic Dermatitis Atlas (GADA) Project - Digital Health & Computer Science at King’s College London,/phds/project/global-atopic-dermatitis-atlas-gada-project-digital-health-and-computer-science/?p164774,King’s College London,"Supervisors: Dr D Leightley, Prof C Flohr",8 December 2023
PhD Research Project: NIHR Leeds BRC: Unravelling the pre-clinical immunology of the IL-23/1L-17 axis in axial inflammation in psoriatic arthritis towards optimal disease prevention at University of Leeds,/phds/project/nihr-leeds-brc-unravelling-the-pre-clinical-immunology-of-the-il-23-1l-17-axis-in-axial-inflammation-in-psoriatic-arthritis-towards-optimal-disease-prevention/?p164773,University of Leeds,"Supervisors: Prof D McGonagle, Dr H Marzo-Ortego, Dr T Macleod",Open Day(s)
PhD Research Project: Hydro Nation Scholars Programme 2024 - Nature-based solutions for water resilience: enabling improved water management in Scotland's rural communities at University of Strathclyde,/phds/project/hydro-nation-scholars-programme-2024-nature-based-solutions-for-water-resilience-enabling-improved-water-management-in-scotland-s-rural-communities/?p164772,University of Strathclyde,"Supervisors: Dr C White, Dr K Waylen, Prof LB Beevers",10 January 2024
PhD Research Project: Designed artificial metalloenzymes for late-stage diversification at Cardiff University,/phds/project/designed-artificial-metalloenzymes-for-late-stage-diversification/?p159562,Cardiff University,Supervisor: Dr G Rhys,12 January 2024
PhD Research Project: Interferometry applied to experimental fluid mechanics at University of Southampton,/phds/project/interferometry-applied-to-experimental-fluid-mechanics/?p164771,University of Southampton,Supervisor: Dr S Maldonado-Villanueva,31 August 2024
PhD Research Project: Hydro Nation Scholars Programme 2024 - Harnessing hidden rivers: potential for low-carbon heat energy generation from culverted urban streams at University of Strathclyde,/phds/project/hydro-nation-scholars-programme-2024-harnessing-hidden-rivers-potential-for-low-carbon-heat-energy-generation-from-culverted-urban-streams/?p164770,University of Strathclyde,"Supervisors: Dr N Burnside, Dr D Bertram",10 January 2024
PhD Research Project: Development and manufacturability of metamaterials for large shallow cavity noise suppression at University of Southampton,/phds/project/development-and-manufacturability-of-metamaterials-for-large-shallow-cavity-noise-suppression/?p164769,University of Southampton,Supervisor: Dr P Murray,31 December 2023
PhD Research Project: NIHR Leeds BRC: Incorporating patient and health care preferences early in the innovation pathway to inform technology development at University of Leeds,/phds/project/nihr-leeds-brc-incorporating-patient-and-health-care-preferences-early-in-the-innovation-pathway-to-inform-technology-development/?p164768,University of Leeds,"Supervisors: Dr D Meads, Dr P Cocco",Open Day(s)
PhD Research Project: Optimising Neurocognitive Strategies for Efficient Communication in Young and Older Adults using Large Language Models and OPM-MEG at University of Birmingham,/phds/project/optimising-neurocognitive-strategies-for-efficient-communication-in-young-and-older-adults-using-large-language-models-and-opm-meg/?p164767,University of Birmingham,Supervisor: Dr H Park,15 December 2023
PhD Research Project: A 6G-based Intelligent Cybersecurity Solution for Connected and Autonomous Vehicles at University of Reading,/phds/project/a-6g-based-intelligent-cybersecurity-solution-for-connected-and-autonomous-vehicles/?p164766,University of Reading,Supervisor: Dr Z Pooranian,Year round applications
PhD Research Project: The detection and investigation of human remains using forensic ecology and remote sensing approaches at Liverpool John Moores University,/phds/project/the-detection-and-investigation-of-human-remains-using-forensic-ecology-and-remote-sensing-approaches/?p164765,Liverpool John Moores University,"Supervisors: Dr K Ralebitso-Senior, Dr K Scott, Dr H Panter",15 December 2023
PhD Research Project: The evaluation of anatomical and anthropometrical standards used for craniofacial identification across diverse populations at Liverpool John Moores University,/phds/project/the-evaluation-of-anatomical-and-anthropometrical-standards-used-for-craniofacial-identification-across-diverse-populations/?p164764,Liverpool John Moores University,"Supervisors: Dr C Wilkinson, Dr JC Liu, Dr S Shrimpton",15 December 2023
PhD Research Project: Control of Membrane Fouling by Vibrations at University of Southampton,/phds/project/control-of-membrane-fouling-by-vibrations/?p164763,University of Southampton,Supervisor: Dr A Vorobev,31 August 2024
PhD Research Project: Towards a fully autonomous non-restraining non-invasive person de-identification & privacy protection in realistic environments at Liverpool John Moores University,/phds/project/towards-a-fully-autonomous-non-restraining-non-invasive-person-de-identification-and-privacy-protection-in-realistic-environments/?p164762,Liverpool John Moores University,"Supervisors: Dr W Khan, Dr F Sharifian, Dr H Kolivand, Dr H Panter",15 December 2023
"PhD Research Project: An Intelligent, Secured Lightweight Algorithm for 6G IoT apps at University of Reading",/phds/project/an-intelligent-secured-lightweight-algorithm-for-6g-iot-apps/?p164761,University of Reading,Supervisor: Dr Z Pooranian,Year round applications
PhD Research Project: Gravity separation of emulsions. Collisions of droplets at University of Southampton,/phds/project/gravity-separation-of-emulsions-collisions-of-droplets/?p164760,University of Southampton,Supervisor: Dr A Vorobev,31 August 2024
PhD Research Project: Developing Artificial Intelligence tools to support occupational health monitoring of whole body vibration exposure at University of Southampton,/phds/project/developing-artificial-intelligence-tools-to-support-occupational-health-monitoring-of-whole-body-vibration-exposure/?p164759,University of Southampton,Supervisor: Dr T Blumensath,31 March 2024
PhD Research Project: Efficient machine learning approaches for X-ray tomographic image reconstruction with limited training data at University of Southampton,/phds/project/efficient-machine-learning-approaches-for-x-ray-tomographic-image-reconstruction-with-limited-training-data/?p164758,University of Southampton,Supervisor: Dr T Blumensath,31 March 2024
PhD Research Project: Quantum Computing Inspired Machine Learning for Inverse Problems and Optimisation at University of Southampton,/phds/project/quantum-computing-inspired-machine-learning-for-inverse-problems-and-optimisation/?p164757,University of Southampton,Supervisor: Dr T Blumensath,31 March 2024
PhD Research Project: Development of a physiologically relevant platform to inform clinical practice and limit antimicrobial resistance in orthopaedic implants at University of Birmingham,/phds/project/development-of-a-physiologically-relevant-platform-to-inform-clinical-practice-and-limit-antimicrobial-resistance-in-orthopaedic-implants/?p164755,University of Birmingham,"Supervisors: Dr S Cox, Dr T Overton, Dr V V Villapun",4 January 2024
PhD Research Project: Wearable multimodal sensors at loaded body interfaces to assist remote healthcare at University of Southampton,/phds/project/wearable-multimodal-sensors-at-loaded-body-interfaces-to-assist-remote-healthcare/?p164754,University of Southampton,Supervisor: Prof L. Jiang,24 June 2024
PhD Research Project: Investigating the Mechanisms of Drug Response to Novel Anti-Cancer Therapies at Queen’s University Belfast,/phds/project/investigating-the-mechanisms-of-drug-response-to-novel-anti-cancer-therapies/?p153222,Queen’s University Belfast,Supervisor: Dr F Furlong,Year round applications
PhD Research Project: Computational modelling to understand the key drivers of placental evolution at University of Southampton,/phds/project/computational-modelling-to-understand-the-key-drivers-of-placental-evolution/?p154338,University of Southampton,Supervisor: Dr B Sengers,Year round applications
PhD Research Project: Lingual anorexigenic hormone administration as a new treatment for obesity at Ulster University,/phds/project/lingual-anorexigenic-hormone-administration-as-a-new-treatment-for-obesity/?p164751,Ulster University,"Supervisors: Prof A Miras, Prof C Le Roux, Dr R Price",19 December 2023
PhD Research Project: EPSRC DTP PhD project: One health solutions to achieve environmental sustainability: developing water-based early warning systems for environmental and public health protection at University of Bath,/phds/project/epsrc-dtp-phd-project-one-health-solutions-to-achieve-environmental-sustainability-developing-water-based-early-warning-systems-for-environmental-and-public-health-protection/?p164750,University of Bath,Supervisor: Prof B Kasprzyk-Hordern,23 January 2024
PhD Research Project: EPSRC DTP PhD project: Enantioselective Desymmetrisation of Cubanes: Applications in Medicinal Chemistry at University of Bath,/phds/project/epsrc-dtp-phd-project-enantioselective-desymmetrisation-of-cubanes-applications-in-medicinal-chemistry/?p164749,University of Bath,Supervisor: Dr S C Coote,23 January 2024
PhD Research Project: Liquid sunshine - Modelling of coronal rain in the quiescent and flaring solar corona (Ref: STFCDTP24/EE/MPEE/ANTOLIN) at Northumbria University,/phds/project/liquid-sunshine-modelling-of-coronal-rain-in-the-quiescent-and-flaring-solar-corona-ref-stfcdtp24-ee-mpee-antolin/?p164748,Northumbria University,"Supervisors: Dr P Antolin, Dr N Jeffrey",31 January 2024
PhD Research Project: EPSRC DTP PhD project: Frequency comb generation in microresonators at University of Bath,/phds/project/epsrc-dtp-phd-project-frequency-comb-generation-in-microresonators/?p164747,University of Bath,"Supervisors: Prof W Wadsworth, Prof D Skryabin",23 January 2024
PhD Research Project: Using AI to Provide New Insights into the Physics of Cataclysmic Variable Stars (Ref: STFCDTP24/EE/MPEE/WYNN) at Northumbria University,/phds/project/using-ai-to-provide-new-insights-into-the-physics-of-cataclysmic-variable-stars-ref-stfcdtp24-ee-mpee-wynn/?p164746,Northumbria University,Supervisor: Prof G Wynn,31 January 2024
PhD Research Project: Novel multi-measurement plasma sensors for swarm missions (Ref: STFCDTP24/EE/MPEE/WICKS2) at Northumbria University,/phds/project/novel-multi-measurement-plasma-sensors-for-swarm-missions-ref-stfcdtp24-ee-mpee-wicks2/?p164745,Northumbria University,"Supervisors: Prof R Wicks, Dr J Stawarz",31 January 2024
PhD Research Project: EPSRC DTP PhD project: Successive Ionic Layer Adsorption and Reaction (SILAR) as a technique to make thin films for perovskite solar cells at University of Bath,/phds/project/epsrc-dtp-phd-project-successive-ionic-layer-adsorption-and-reaction-silar-as-a-technique-to-make-thin-films-for-perovskite-solar-cells/?p164744,University of Bath,Supervisor: Prof P J Cameron,23 January 2024
PhD Research Project: EPSRC DTP PhD project: Polymorphic Charge Density Waves: a route towards next generation memories at University of Bath,/phds/project/epsrc-dtp-phd-project-polymorphic-charge-density-waves-a-route-towards-next-generation-memories/?p164743,University of Bath,"Supervisors: Dr E Da Como, Dr S Crampin",23 January 2024
"PhD Research Project: Sustainable water treatment – towards net-zero biotechnologies minimizing GHG emissions (nitrous oxide, N2O) at University of Glasgow",/phds/project/sustainable-water-treatment-towards-net-zero-biotechnologies-minimizing-ghg-emissions-nitrous-oxide-n2o/?p157547,University of Glasgow,Supervisor: Dr C Domingo-Felez,Year round applications
PhD Research Project: Comparative phylogenetics of the leaf economics spectrum at University of Essex,/phds/project/comparative-phylogenetics-of-the-leaf-economics-spectrum/?p164742,University of Essex,"Supervisors: Dr JF Ferguson, Dr AC Cavanagh, Prof T Lawson, Dr K Huber",10 January 2024
PhD Research Project: Football in the community: Measuring the social impact of football clubs at University of Portsmouth,/phds/project/football-in-the-community-measuring-the-social-impact-of-football-clubs/?p157955,University of Portsmouth,"Supervisors: Dr A Cox, Dr C Philippou, Dr J Cox",19 January 2024
PhD Research Project: EPSRC DTP PhD project: Novel 2D materials as building blocks for spintronics and quantum computation at University of Bath,/phds/project/epsrc-dtp-phd-project-novel-2d-materials-as-building-blocks-for-spintronics-and-quantum-computation/?p164741,University of Bath,"Supervisors: Dr A Ilie, Dr K Takashina, Prof A Nogaret",23 January 2024
PhD Research Project: The predictive properties of white matter network diffusion on the development and progression of psychotic illness at University of Birmingham,/phds/project/the-predictive-properties-of-white-matter-network-diffusion-on-the-development-and-progression-of-psychotic-illness/?p164740,University of Birmingham,"Supervisors: Dr R Reniers, Prof S.J Wood",4 January 2024
PhD Research Project: NIHR Leeds BRC: Using early simulation modelling to estimate the health care system impact of new technologies and inform technology development at University of Leeds,/phds/project/nihr-leeds-brc-using-early-simulation-modelling-to-estimate-the-health-care-system-impact-of-new-technologies-and-inform-technology-development/?p164739,University of Leeds,"Supervisors: Dr A Vargas-Palacios, Dr D Meads, Prof H Pandit",Open Day(s)
PhD Research Project: NIHR Leeds BRC: Multimodal predictive modelling of outcome in patients with gastrointestinal cancer at University of Leeds,/phds/project/nihr-leeds-brc-multimodal-predictive-modelling-of-outcome-in-patients-with-gastrointestinal-cancer/?p164738,University of Leeds,"Supervisors: Dr H Grabsch, Dr N West, Dr D Magee",Open Day(s)
PhD Research Project: EPSRC DTP PhD project: Topological and nonlinear phononics in van der Waals materials at University of Bath,/phds/project/epsrc-dtp-phd-project-topological-and-nonlinear-phononics-in-van-der-waals-materials/?p164737,University of Bath,"Supervisors: Dr H Rostami, Prof A Walker",23 January 2024
PhD Research Project: NIHR Leeds BRC: The microbiome and the promotion of bowel cancer: The key to understanding causation and prevention of this important disease at University of Leeds,/phds/project/nihr-leeds-brc-the-microbiome-and-the-promotion-of-bowel-cancer-the-key-to-understanding-causation-and-prevention-of-this-important-disease/?p164736,University of Leeds,"Supervisors: Dr K Marks, Dr H Wood, Dr N West, Prof P Quirke",Open Day(s)
"PhD Research Project: Investigating the role of immunity, behaviour and climate in driving seasonal influenza dynamics. at University of Nottingham",/phds/project/investigating-the-role-of-immunity-behaviour-and-climate-in-driving-seasonal-influenza-dynamics/?p164735,University of Nottingham,"Supervisors: Dr KB Bolton, Prof PO'N O'Neill",Year round applications
PhD Research Project: Investigating Free Energy in Solar Active Regions and its Relation to Flaring (Ref: STFCDTP24/EE/MPEE/BLOOMFIELD) at Northumbria University,/phds/project/investigating-free-energy-in-solar-active-regions-and-its-relation-to-flaring-ref-stfcdtp24-ee-mpee-bloomfield/?p164734,Northumbria University,"Supervisors: Dr S Bloomfield, Dr S Regnier",31 January 2024
PhD Research Project: NIHR Leeds BRC: The role of target organs in initiation of autoimmunity in systemic lupus erythematosus at University of Leeds,/phds/project/nihr-leeds-brc-the-role-of-target-organs-in-initiation-of-autoimmunity-in-systemic-lupus-erythematosus/?p164733,University of Leeds,Supervisor: Dr E Vital,Open Day(s)
Business Research Programme: The University of Exeter Business School MRes + PhD Scholarships for Black British researchers at University of Exeter,/phds/programme/the-university-of-exeter-business-school-mres-phd-scholarships-for-black-british-researchers/?p5765,,N/A,Funded PhD Programme (UK Students Only)
PhD Research Project: Probing Solar Wind Variability in the Inner Heliosphere using Multi-spacecraft Observations (Ref: STFCDTP24/EE/MPEE/YARDLEY) at Northumbria University,/phds/project/probing-solar-wind-variability-in-the-inner-heliosphere-using-multi-spacecraft-observations-ref-stfcdtp24-ee-mpee-yardley/?p164732,Northumbria University,"Supervisors: Dr S Yardley, Prof J McLaughlin",31 January 2024
Business Research Programme: The University of Exeter Business School MRes + PhD Scholarships at University of Exeter,/phds/programme/the-university-of-exeter-business-school-mres-phd-scholarships/?p5766,,N/A,Funded PhD Programme (Students Worldwide)
PhD Research Project: NIHR Leeds BRC: Improving hip replacement surgery for at risk patient cohort at University of Leeds,/phds/project/nihr-leeds-brc-improving-hip-replacement-surgery-for-at-risk-patient-cohort/?p164731,University of Leeds,"Supervisors: Dr R K Wilcox, Dr S Williams, Dr A Jones, Prof A Redmond",Open Day(s)
PhD Research Project: Mass and energy transfer through the Sun’s surface: the physics of magnetic flux emergence (Ref: STFCDTP24/EE/MPEE/REGNIER) at Northumbria University,/phds/project/mass-and-energy-transfer-through-the-sun-s-surface-the-physics-of-magnetic-flux-emergence-ref-stfcdtp24-ee-mpee-regnier/?p164730,Northumbria University,Supervisor: Dr S Regnier,31 January 2024
PhD Research Project: EPSRC DTP PhD project: Sulfonium salts as multimodal synthetic handles at University of Bath,/phds/project/epsrc-dtp-phd-project-sulfonium-salts-as-multimodal-synthetic-handles/?p164729,University of Bath,Supervisor: Dr S E Lewis,23 January 2024
PhD Research Project: EPSRC DTP PhD project: Shining light on single molecule dynamics at University of Bath,/phds/project/epsrc-dtp-phd-project-shining-light-on-single-molecule-dynamics/?p164728,University of Bath,"Supervisors: Dr K Rusimova, Dr P Sloan",23 January 2024
PhD Research Project: Using AI to find the giant magnetospheric waves driving near-Earth space (Ref: STFC24/EE/MPEE/BENTLEY) at Northumbria University,/phds/project/using-ai-to-find-the-giant-magnetospheric-waves-driving-near-earth-space-ref-stfc24-ee-mpee-bentley/?p164727,Northumbria University,"Supervisors: Dr S Bentley, Prof J Rae",31 January 2024
PhD Research Project: NIHR Leeds BRC: An interferon diagnostic to inform early detection and prevention strategies in Ana positive CTDs at University of Leeds,/phds/project/nihr-leeds-brc-an-interferon-diagnostic-to-inform-early-detection-and-prevention-strategies-in-ana-positive-ctds/?p164726,University of Leeds,"Supervisors: Dr F Del Galdo, Dr R Ross",Open Day(s)
PhD Research Project: Jupiter’s fiery aurora – how heat is driven into the atmosphere (Ref: STFCDTP24/EE/MPEE/STALLARD) at Northumbria University,/phds/project/jupiter-s-fiery-aurora-how-heat-is-driven-into-the-atmosphere-ref-stfcdtp24-ee-mpee-stallard/?p164725,Northumbria University,Supervisor: Prof T Stallard,31 January 2024
"PhD Research Project: Pick-up of electrons from comets, dust and interstellar neutrals in the solar wind (Ref: STFCDTP24/EE/MPEE/WICKS1) at Northumbria University",/phds/project/pick-up-of-electrons-from-comets-dust-and-interstellar-neutrals-in-the-solar-wind-ref-stfcdtp24-ee-mpee-wicks1/?p164724,Northumbria University,"Supervisors: Prof R Wicks, Dr C Goetz",31 January 2024
PhD Research Project: Creolising Caribbean foodways: Breadfruit from the mid-nineteenth century to the present at University of Warwick,/phds/project/creolising-caribbean-foodways-breadfruit-from-the-mid-nineteenth-century-to-the-present/?p164723,University of Warwick,"Supervisors: Prof D Lambert, Prof R Earle, Dr C Cornish, Dr S Evans",10 January 2024
PhD Research Project: NIHR Leeds BRC: Using health data to flip the inverse care law in polymyalgia rheumatica at University of Leeds,/phds/project/nihr-leeds-brc-using-health-data-to-flip-the-inverse-care-law-in-polymyalgia-rheumatica/?p164722,University of Leeds,"Supervisors: Dr S Mackie, Prof A Clegg, Dr K Best",Open Day(s)
PhD Research Project: The British Heart Foundation 4-year PhD programme in Cardiovascular Science at University of Edinburgh,/phds/project/the-british-heart-foundation-4-year-phd-programme-in-cardiovascular-science/?p164721,University of Edinburgh,Supervisor: Prof M Bailey,15 January 2024
PhD Research Project: Improving outcome measure selection in physical activity research at University of Leicester,/phds/project/improving-outcome-measure-selection-in-physical-activity-research/?p159092,University of Leicester,"Supervisors: Dr T Wilkinson, Prof K Khunti, Dr D March, Dr A Welford",21 January 2024
PhD Research Project: NIHR Leeds BRC: Utilising genetic and genomic predictors of vasculitis and disease/treatment complications for application in routine clinical practice at University of Leeds,/phds/project/nihr-leeds-brc-utilising-genetic-and-genomic-predictors-of-vasculitis-and-disease-treatment-complications-for-application-in-routine-clinical-practice/?p164720,University of Leeds,"Supervisors: Prof A Morgan, Dr MM Iles, Dr R Mujica-Mota",Open Day(s)
PhD Research Project: NIHR Leeds BRC: Pre-clinical evaluation of novel regenerative medicine strategies for knee osteoarthritis at University of Leeds,/phds/project/nihr-leeds-brc-pre-clinical-evaluation-of-novel-regenerative-medicine-strategies-for-knee-osteoarthritis/?p164718,University of Leeds,"Supervisors: Prof H Pandit, Prof D McGonagle",Open Day(s)
PhD Research Project: NIHR Leeds BRC: Targeting systemic inflammation to treat joint pain at University of Leeds,/phds/project/nihr-leeds-brc-targeting-systemic-inflammation-to-treat-joint-pain/?p164717,University of Leeds,"Supervisors: Prof P Conaghan, Dr S Kingsbury",Open Day(s)
PhD Research Project: NIHR Leeds BRC: Comparison and contrast of bone marrow failure syndromes resulting from somatic mutation: PNH and VEXAS syndrome at University of Leeds,/phds/project/nihr-leeds-brc-comparison-and-contrast-of-bone-marrow-failure-syndromes-resulting-from-somatic-mutation-pnh-and-vexas-syndrome/?p164716,University of Leeds,"Supervisors: Dr S Savic, Dr D Newton, Dr R Kelly",Open Day(s)
PhD Research Project: NIHR Leeds BRC: Microenvironmental metabolic and genomic drivers of T-cell dysfunction associated with frailty in multiple myeloma (MM) at University of Leeds,/phds/project/nihr-leeds-brc-microenvironmental-metabolic-and-genomic-drivers-of-t-cell-dysfunction-associated-with-frailty-in-multiple-myeloma-mm/?p164715,University of Leeds,Supervisor: Dr G P Cook,Open Day(s)
PhD Research Project: NIHR Leeds BRC: Development and application of fast Magnetic Resonance Spectroscopic Imaging methods for metabolic profiling at University of Leeds,/phds/project/nihr-leeds-brc-development-and-application-of-fast-magnetic-resonance-spectroscopic-imaging-methods-for-metabolic-profiling/?p164714,University of Leeds,"Supervisors: Prof S Plein, Prof J Schneider",Open Day(s)
